Design tryp_calc_EC50 chymo_calc_EC50 tryp_low_EC50 chymo_low_EC50 tryp_high_EC50 chymo_high_EC50 tryp_width_EC50 chymo_width_EC50 tryp_unfolded_EC50 chymo_unfolded_EC50
RMKGWQKY 3.98495319356 1.72889858534 3.8 -0.5 4.2 2.1 0.4 2.6 -0.02 -0.22
IFYYTDLZ 4.35170136124 2.95699879384 4.2 2.6 4.5 3.1 0.3 0.5 -0.15 -0.15
MTZGPWZT 4.87217138248 3.00548156028 4.7 2.9 5.0 3.1 0.3 0.2 0.08 -0.35
EGZSKRPB 2.59816427 2.32640378051 2.4 2.2 3.0 2.5 0.6 0.3 -0.19 -0.50
QNKYNTSN 4.3319218245 2.64499861738 4.2 2.6 4.5 2.8 0.3 0.2 0.41 -0.09
MEZPSTZQ 3.46184219057 2.2483781942 3.4 2.2 3.6 2.4 0.2 0.2 0.07 0.43
HVEJDMNI 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.67 -0.13
QSAWEMXL 3.3091040487 2.38934367385 3.3 2.3 3.3 2.5 0.0 0.2 0.43 0.42
CTQKCTVL 5.39208123554 5.27215449837 5.4 5.2 5.4 5.2 0.0 0.0 0.19 0.29
VGUNLXVO 3.32104896287 3.10346658089 3.2 2.9 3.4 3.3 0.2 0.4 0.00 -0.83
grc_EQKMAESW 4.31571555064 2.35641085453 4.2 2.3 4.4 2.4 0.2 0.1 0.24 -0.12
EQKMAESW 4.55730549042 2.83213166546 4.5 2.6 4.6 2.9 0.1 0.3 0.24 -0.11
FQPBJZZK 4.81240423319 3.36409977408 4.6 3.3 5.0 3.5 0.4 0.2 0.07 -0.75
YYCYPJIZ 4.75436379664 3.14791825851 4.5 3.1 4.9 3.2 0.4 0.1 0.07 -0.45
EXOQJKAR 3.5220324348 2.29318404517 3.5 2.3 3.5 2.3 0.0 0.0 0.11 -0.44
DCUFFRFN 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.03 -0.34
MWRMRMJC 3.41951866679 1.63347570679 3.3 1.4 3.5 2.0 0.2 0.6 -0.23 -0.40
IZTULFJF 1.2158612162 2.46824110739 0.7 2.4 1.6 2.6 0.9 0.2 -0.10 -0.22
QLVTYPAE 4.90307699551 3.11780340932 4.8 3.0 5.0 3.2 0.2 0.2 0.31 -0.28
YLPMPKVR 3.25035478373 1.53401146172 3.2 1.2 3.4 7.2 0.2 6.0 0.40 -0.53
YKBJANQF 3.57234492477 2.3210511667 3.4 2.2 3.8 2.4 0.4 0.2 0.19 -0.41
VSALSGJK 3.53062413705 2.9633527614 3.4 2.5 3.7 3.6 0.3 1.1 0.51 0.54
REKUFSSG 5.73197180189 5.10560710577 5.5 4.9 6.2 5.2 0.7 0.3 0.08 -0.32
KHXAWKVK 4.31496459459 4.13661051222 4.2 4.1 4.5 4.2 0.3 0.1 0.68 0.74
TZNIRGIT 2.44223120734 2.13137109676 2.4 2.1 2.5 2.2 0.1 0.1 0.02 0.35
JIKQHJRA 4.19258331918 2.19040171985 4.1 2.2 4.2 2.2 0.1 0.0 0.19 -0.21
PABKIJWX 4.38001701483 2.58788558917 4.2 2.4 4.6 2.8 0.4 0.4 -0.48 -0.40
WJACQPYU 3.78922862694 2.19256520249 3.7 2.1 3.8 2.3 0.1 0.2 0.63 -0.09
scr_CDFWFACG 2.27005313911 2.5072169855 2.2 2.4 2.3 2.6 0.1 0.2 0.28 0.01
MNQRXKLW 1.3683653268 -0.0146196090597 0.9 -0.5 2.1 0.5 1.2 1.0 0.01 -0.61
OFWVPFLG 3.44694460445 2.65622856557 3.4 2.6 3.5 2.8 0.1 0.2 0.34 -0.30
BBM1pem0093 6.00340800416 4.12865728839 5.7 4.1 7.2 4.2 1.5 0.1 -0.50 -0.67
scr_CPYDFEXF 2.21252791615 0.79062390977 2.2 0.6 2.3 1.0 0.1 0.4 -0.43 -0.18
TELBYZRH 4.59097439993 5.033880826 4.5 4.3 4.7 5.0 0.2 0.7 0.27 -0.00
AKOYKMNK 4.48840034469 2.30950961253 4.3 2.2 4.7 2.5 0.4 0.3 0.29 -0.58
GDEUVYKD 2.38551184874 2.9647744481 2.3 2.6 5.3 3.1 3.0 0.5 -0.06 0.43
PMLGMBBV 3.56621869998 2.35822315222 3.5 2.3 4.0 2.5 0.5 0.2 -0.09 -0.38
ZEDDIMDP 5.34629048424 4.2491297722 5.3 4.2 5.4 4.2 0.1 0.0 -0.10 -0.20
GJIGAMJD 3.29361581751 4.18817899097 3.3 4.2 3.3 4.2 0.0 0.0 0.08 0.35
BJTJBJIU 4.94478689322 2.55403486835 4.8 2.5 5.1 2.6 0.3 0.1 -0.04 -0.32
ESIJHTRP 3.2988381523 0.619084520717 3.2 0.5 3.4 1.1 0.2 0.6 -0.03 -0.07
USBKNHTC 3.38527842405 2.09553755073 3.3 2.0 3.4 2.2 0.1 0.2 0.42 -0.06
AJGHSOVB 5.07839813476 1.20775912679 4.9 0.8 5.3 2.1 0.4 1.3 0.54 -0.10
BBM1TPm0394 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.17 0.20
FPBHDHRX 3.2378310699 4.23215060089 -0.3 4.1 7.3 4.3 7.6 0.2 -0.11 0.13
scr_BVEPJDOM 2.33766438503 2.28836523321 2.2 2.1 2.5 2.5 0.3 0.4 -0.21 -0.68
scr_MBPKFKDA 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.35 -0.35
YNLIZAFP 4.29038629657 2.22333827193 4.2 2.1 4.4 2.4 0.2 0.3 0.24 -0.50
GJPTZFBL 5.05954410516 4.18526506504 4.9 4.2 5.2 4.2 0.3 0.0 0.78 -0.28
DDXTWRRT 2.36971702696 1.799099375 2.2 1.5 2.5 2.1 0.3 0.6 0.04 -0.53
DPYGYIVY 5.46042941617 3.05997486169 5.3 2.9 5.7 3.2 0.4 0.3 -0.63 -0.96
BMOFGBDB 5.5958864169 5.17158024799 5.5 5.1 5.7 5.2 0.2 0.1 0.03 -0.33
tlc_AWFXKFSO 4.86598995466 4.10171753846 4.8 4.1 4.9 4.1 0.1 0.0 0.13 -0.21
AWFXKFSO 5.05231652354 4.13170179135 5.0 4.1 5.1 4.1 0.1 0.0 0.11 -0.22
tlc_WKXGTJIH 2.26137408778 1.11021599668 2.2 0.8 2.3 1.4 0.1 0.6 0.07 -0.23
WKXGTJIH 2.20071819192 0.517993508674 2.1 0.3 2.3 0.9 0.2 0.6 -0.03 -0.62
DRVJZRZS 4.26110189861 2.38255511152 3.4 2.3 4.4 2.5 1.0 0.2 -0.15 0.39
scr_WXWLWQAK 2.27869400894 1.23198169871 2.2 1.1 2.4 1.4 0.2 0.3 0.17 0.12
scr_UVLUGKGZ 0.365717859029 0.337888269026 -0.5 -0.5 7.1 7.1 7.6 7.6 -0.37 0.21
PAFGCUAS 4.50873416136 2.37773793262 4.4 2.3 4.6 2.4 0.2 0.1 -0.05 0.35
scr_EXYQHENK 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.10 -0.56
KRZZRQCJ 5.56880881935 5.09026140593 5.5 5.1 5.5 5.1 0.0 0.0 0.04 -0.34
QFRRAYES 3.31606015002 0.0378307734373 3.0 -0.5 6.4 0.8 3.4 1.3 -0.26 -0.51
AULGIKFL 5.12454652289 3.05782833838 5.0 3.0 5.2 3.1 0.2 0.1 0.33 -0.08
scr_LWRHPEPF 4.36331571253 1.23991355986 4.2 1.1 4.5 1.4 0.3 0.3 -0.51 -0.53
MUYIIJUS 5.15460689552 4.19340885631 5.1 4.2 5.2 4.2 0.1 0.0 -0.12 -0.27
MKJABJTX 4.05743942209 2.22563490601 3.9 2.2 4.2 2.3 0.3 0.1 0.12 -0.02
QVWGVEKB 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.02 -0.21
BQBRDNZX 2.30524251791 1.03061766462 2.3 0.9 2.3 1.2 0.0 0.3 0.19 -0.05
FPTWFMPJ 4.82817042018 3.02728697193 4.6 2.9 5.0 3.1 0.4 0.2 -0.13 0.29
CBCSAYOX 3.51799167967 0.817714641273 3.4 0.6 3.6 1.1 0.2 0.5 -0.33 -0.67
CEMFYHSG 5.28455608042 4.19782715157 5.2 4.2 5.4 4.2 0.2 0.0 -0.15 -0.47
ANSPHJUR 5.34850606949 5.17006091517 5.3 5.1 5.4 5.1 0.1 0.0 -0.63 -0.47
IOBHCUEK 4.94122279881 2.96490678571 4.9 2.9 5.0 3.0 0.1 0.1 0.26 -0.42
HQJNXREW 5.18154973902 4.18688938441 5.1 4.1 5.3 4.2 0.2 0.1 -0.06 -0.36
ZXSSRZMW 3.69912643913 2.29030094795 3.5 2.2 3.9 2.4 0.4 0.2 -0.68 -0.40
GCBKGOEY 4.12369635812 2.42741320244 4.1 2.4 4.1 2.5 0.0 0.1 -0.26 -0.64
DPRQHASJ 3.4153968934 2.29647879566 3.4 2.3 3.4 2.3 0.0 0.0 0.24 0.45
DAIXLXNR 3.31979852169 2.44784610983 3.3 2.4 3.4 2.5 0.1 0.1 -0.18 -0.58
scr_LVFGPFFK 0.603657890252 -0.0498053555977 0.3 -0.5 1.2 0.4 0.9 0.9 -0.28 -0.46
ACNGOVUD 5.33386016034 4.3198375778 5.2 4.3 5.4 4.3 0.2 0.0 0.14 -0.18
BBM2nHm0481 5.59805844499 4.23214565966 5.5 4.2 5.6 4.2 0.1 0.0 0.06 -0.15
scr_JJLJMWKQ 3.36725291421 1.59039939314 3.2 1.3 3.6 2.0 0.4 0.7 -0.12 -0.31
tlc_CWKKMFGY 4.0777715193 2.3854456069 4.0 2.3 4.2 2.4 0.2 0.1 0.78 0.58
CWKKMFGY 3.60163237692 2.52973857391 3.4 2.4 3.9 2.7 0.5 0.3 0.65 0.36
NEHHNKQU 3.29283257252 2.50945738919 3.3 2.4 3.3 2.6 0.0 0.2 -0.28 -0.34
IQJASXUM 2.13536537534 0.609440017175 2.1 0.4 2.2 0.9 0.1 0.5 -0.45 -0.60
VQLIMKWM 4.48779561705 4.31325490779 4.3 4.2 4.9 4.4 0.6 0.2 0.30 0.05
UDXRVNXD 0.577943526325 0.414070626579 0.4 0.2 1.0 0.7 0.6 0.5 -0.40 -0.66
JQNYXIJQ 1.05677018303 0.529711731043 0.8 0.3 1.3 0.9 0.5 0.6 -0.31 -0.11
GYEFZZQF 2.44460671502 1.46043577417 2.3 1.2 2.6 6.1 0.3 4.9 -0.41 -0.62
WZNCDCLA 5.3465371622 4.2437046299 5.3 4.2 5.4 4.2 0.1 0.0 0.01 -0.19
grc_JIIMDREH 4.46738505788 2.62702932834 4.3 2.5 4.7 2.9 0.4 0.4 -0.20 0.07
JIIMDREH 4.23819371317 2.39567676915 4.2 2.4 4.3 2.4 0.1 0.0 -0.20 0.07
KNPWXOWK 3.5621630427 2.2623649957 3.5 2.2 4.0 2.3 0.5 0.1 0.09 -0.40
QHVJOQBM 3.38659042763 2.26948006087 3.3 2.2 3.5 2.4 0.2 0.2 0.07 -0.14
VZXNOEMX 4.03733203171 5.14944711642 4.0 5.1 4.1 5.1 0.1 0.0 0.37 0.15
AMEEUGCL 3.34697849153 1.88651706117 3.2 1.6 3.5 2.1 0.3 0.5 0.63 -0.16
CSLRMBKN 4.87000387921 2.33617759955 4.7 2.3 5.1 2.4 0.4 0.1 0.12 0.43
UWAUQTBB 0.00944301407791 5.38226245248 -0.5 5.2 0.5 5.5 1.0 0.3 0.51 0.26
VDLVGTHB 4.3982445238 2.88736544067 4.3 2.8 4.5 3.0 0.2 0.2 -0.05 -0.17
scr_PQVBRBJL 0.894551724636 0.626882220999 0.7 0.4 1.2 0.9 0.5 0.5 0.25 -0.13
ZZUSWIJI 5.6481922227 2.30721130558 5.4 2.2 6.8 2.5 1.4 0.3 -0.19 0.19
CHZVKGBU 1.43165182547 -0.0514934916363 1.1 -0.5 2.4 0.4 1.3 0.9 -0.20 -0.44
HYPKPLGV 5.96038752958 5.21795947638 5.8 5.2 6.1 5.2 0.3 0.0 -0.25 -0.80
CCNBOIJS 4.04801228954 2.47569624566 3.6 2.4 4.3 2.6 0.7 0.2 -0.02 -0.25
scr_AKQDJMFL 1.73359151784 2.30345840458 -0.5 -0.3 2.0 2.6 2.5 2.9 -0.15 -0.38
BBM1nHm0308 5.79263118152 5.21330474573 5.7 5.2 5.8 5.2 0.1 0.0 -0.21 -0.20
KCSLGWPJ 4.33576014806 2.41892925922 4.3 2.4 4.3 2.4 0.0 0.0 0.22 -0.33
WFATIYTC 3.57443785683 2.41950193577 3.5 2.4 3.6 2.5 0.1 0.1 0.13 0.04
grc_BTIQPNUH 4.16886957864 2.49177943271 4.1 2.5 4.2 2.5 0.1 0.0 0.01 -0.07
BTIQPNUH 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.04 -0.06
BQGSEASO 4.17908552708 2.33964369225 4.0 2.3 4.4 2.4 0.4 0.1 -0.26 0.03
TCAAYTVT 3.17566637252 2.15824910465 3.1 2.1 3.2 2.2 0.1 0.1 -0.02 -0.34
DPIFEYTO 4.22400431184 3.00357651773 4.2 3.0 4.3 3.0 0.1 0.0 0.77 0.88
EBHRUIWV 3.7466156579 1.41419285693 3.4 1.3 4.3 1.6 0.9 0.3 -0.39 -0.43
scr_DQYXIYAX 2.15347213069 1.22796914182 1.6 0.8 2.3 4.8 0.7 4.0 -0.12 -0.32
scr_NEIVHFXU 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.68 -0.40
tlc_GVAECPJT 4.58799681991 2.6050467301 4.5 2.5 4.7 2.7 0.2 0.2 -0.20 -0.15
GVAECPJT 4.53159005635 2.53031259337 4.4 2.5 4.7 2.6 0.3 0.1 -0.19 -0.25
tlc_GNTLFISW 4.28737827437 4.14278471166 4.2 4.1 4.3 4.2 0.1 0.1 0.63 0.06
GNTLFISW 3.46180554404 3.01958112754 3.4 2.9 3.6 3.1 0.2 0.2 0.52 -0.07
scr_NCDAOGRA 2.52154739895 2.10229471723 2.4 1.4 2.7 2.3 0.3 0.9 0.19 0.20
DVXQZLVA 2.71764588123 1.10135972906 2.5 0.8 3.0 1.4 0.5 0.6 -0.28 -0.69
HUYZUVBU 5.33676610779 2.61473496312 5.2 2.5 5.5 2.9 0.3 0.4 -0.47 -0.29
MYTQEBLZ 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.24 -0.12
DBZYQKVR 4.8183820481 2.97006643719 4.7 3.0 4.8 3.0 0.1 0.0 -0.26 -0.52
SEZPKOWX 3.63607881378 4.23710266341 3.5 4.2 3.9 4.3 0.4 0.1 -0.18 -0.23
RJEPGIJL 1.82019559227 3.25335455974 -0.5 -0.3 2.3 7.3 2.8 7.6 -0.04 -0.63
COAWXTSV 0.951806569896 -0.0590839417104 0.6 -0.5 1.4 0.3 0.8 0.8 0.46 0.11
QNLDBNYK 1.34079356801 1.44723309284 1.1 1.2 1.7 2.2 0.6 1.0 0.37 -0.50
BCBSLPNX 5.68326715973 5.22248420621 5.6 5.2 5.8 5.2 0.2 0.0 -0.35 0.11
MGIFLGVZ 3.41820633003 1.37845349105 3.3 1.2 3.6 1.6 0.3 0.4 -0.18 -0.95
DCMGMZBM 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.16 0.18
EYPKWZZX 2.31394979339 2.38979009001 2.2 2.3 2.5 2.6 0.3 0.3 0.02 -0.23
FOJORVAD 5.40914514303 3.12906650632 5.2 3.0 5.8 3.3 0.6 0.3 0.37 0.87
tlc_FOJORVAD 3.5850719126 2.12774678295 3.4 1.4 4.0 2.6 0.6 1.2 0.38 1.04
HDHORWMF 4.90883256376 2.65289154341 4.6 2.5 5.1 3.0 0.5 0.5 -0.40 -0.33
EVKVBDVM 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.12 -0.86
QJIMOXNA 5.26931764383 5.12140841978 5.2 5.1 5.3 5.1 0.1 0.0 0.09 0.17
NVNIQXWO 4.45076471515 3.01124830527 4.3 2.9 4.6 3.1 0.3 0.2 0.09 -0.34
DWGSCDMH 0.762821851562 -0.0923747705946 0.5 -0.5 1.2 0.2 0.7 0.7 0.28 -0.52
JKPELHGM 2.23185269296 1.85779574318 2.2 1.5 2.3 2.1 0.1 0.6 0.70 0.11
BLAOJOGD 4.01697378715 2.18214379681 3.9 2.1 4.1 2.2 0.2 0.1 0.11 0.24
CIHKXRDM 3.40883064939 2.98573647643 3.3 2.9 3.5 3.1 0.2 0.2 -0.17 -0.42
FQETHOIO 2.40015518497 2.32799448222 2.3 2.3 2.5 2.4 0.2 0.1 -0.24 -0.51
ZLFDSQHA 4.31382456316 5.12076934925 4.2 5.1 4.4 5.1 0.2 0.0 -0.60 -0.56
OZGNANRJ 5.0912350679 4.2561922269 5.0 4.2 5.2 4.3 0.2 0.1 0.60 -0.10
OOQJMZQY 4.41969140546 2.37401360088 4.3 1.2 4.5 2.6 0.2 1.4 0.04 -0.58
IEZSGXCX 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.13 0.32
HEMGKYFH 3.70900641355 3.13402420543 3.5 3.0 4.0 3.3 0.5 0.3 -0.05 -0.02
LONDZGBT 5.06064850337 2.5288618871 4.9 2.5 5.2 2.6 0.3 0.1 0.39 0.42
AQLGBBDB 4.66407844249 2.50478498663 4.6 2.5 4.8 2.5 0.2 0.0 0.06 -0.14
SDDNYPZJ 1.37295944916 0.917794857962 1.1 0.6 1.8 1.3 0.7 0.7 -0.35 -0.79
FOHSLSST 5.1805524559 4.14803446543 5.1 4.1 5.2 4.1 0.1 0.0 0.05 -0.27
LUNLLHAV 4.4064110573 5.08922754753 4.4 5.0 4.4 5.1 0.0 0.1 -0.06 0.06
DKUVPYFG 5.5132045903 5.1682889444 5.2 5.1 6.2 5.2 1.0 0.1 -0.28 -0.10
TRHSZBMW 4.61606987857 3.00976216321 4.5 3.0 4.7 3.0 0.2 0.0 -0.25 -0.01
IHKFRKQR 2.1695150154 1.37153175266 2.1 1.2 2.3 1.7 0.2 0.5 -0.37 -0.80
scr_VLFFJIOE 2.6115180544 1.52363888162 2.4 1.2 3.2 2.1 0.8 0.9 -0.38 0.05
HCQNIEDC 5.18708463337 2.59931389863 5.1 2.5 5.3 2.8 0.2 0.3 -0.58 -1.11
GALEKYMI 5.25445016231 4.21910395496 5.2 4.2 5.3 4.2 0.1 0.0 0.45 -0.44
TEQARLVH 4.07566247435 0.384158762579 4.0 0.3 4.1 0.5 0.1 0.2 0.15 -0.20
RUDDZCLD 4.09191750208 2.30052918985 4.0 2.1 4.2 3.3 0.2 1.2 0.26 -0.22
TXFQSWRA 2.23765142046 3.25335455974 -0.5 -0.3 2.4 7.3 2.9 7.6 -0.59 -0.10
FGWGJTIZ 3.40413972347 2.23407108109 3.4 2.2 3.4 2.3 0.0 0.1 -0.34 -0.18
ZBCRLAHM 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.13 -0.16
KMGVMDQU 2.46887983941 2.32743944303 2.2 2.2 2.9 2.4 0.7 0.2 0.14 0.58
MYKNKZWJ 3.32298647572 2.25919783735 3.3 2.2 3.4 2.4 0.1 0.2 -0.18 -0.77
HAABGSAW 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.41 0.26
scr_JFCCWJME 0.3032915393 -0.018974606611 -0.5 -0.5 0.9 0.5 1.4 1.0 -0.61 -0.29
ICQUJLKN 3.52935827864 2.23474095904 3.5 2.1 3.6 2.3 0.1 0.2 0.27 -0.25
DGFTDKJX 3.74019271283 2.57883793755 3.5 2.4 4.1 2.8 0.6 0.4 -0.13 -0.39
RBAVBUGU 3.28087738288 2.5134719737 3.2 2.4 3.4 2.7 0.2 0.3 -0.35 0.07
XDOVIBYI 4.87171359946 3.03404492907 4.8 3.0 4.9 3.1 0.1 0.1 -0.13 -0.06
DYBDSCVY 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.20 0.03
EPXLCBUN 2.76074826379 3.25335455974 -0.2 -0.3 3.5 7.3 3.7 7.6 -0.02 -0.22
tlc_AODIAAAR 4.39201327661 4.28969800234 4.3 4.3 4.6 4.3 0.3 0.0 -0.10 -0.56
AODIAAAR 5.13316350331 2.63752855967 5.0 2.6 5.2 2.7 0.2 0.1 -0.12 -0.56
IYWZLATW 4.7670031018 2.63713582092 4.5 2.4 5.2 3.1 0.7 0.7 0.32 0.34
QCNGVSNJ 5.07101246886 4.19636408223 5.0 4.2 5.2 4.2 0.2 0.0 -0.08 -0.45
HWYKSDOG 5.03530908437 4.1540651226 4.9 4.1 5.1 4.2 0.2 0.1 0.10 -0.06
BAJQNHAH 5.02454755031 2.59227049981 4.8 2.4 5.2 3.1 0.4 0.7 0.25 -0.51
YXSGYEGJ 3.34324468466 0.819518026464 3.2 0.5 3.5 1.3 0.3 0.8 -0.04 -0.33
GIGEMLYI 5.00402799932 2.95196458193 5.0 2.9 5.0 3.0 0.0 0.1 0.40 -0.29
ABVBXLTL 2.16097829343 1.24766310783 2.1 1.1 2.3 1.4 0.2 0.3 -0.04 -0.31
SJISGIDY 4.43128427095 2.99529083405 4.3 2.8 4.6 3.2 0.3 0.4 -0.26 0.11
